Year,Category,Film Title,Winner,Speech
1947,Actress in a Supporting Role,Gentleman's Agreement,Celeste Holm," CELESTE HOLM:
Thank you, Mr. Crisp.  Ladies and gentlemen, I have thought before tonight that I had already received the greatest award that an actress can have, which is to play a part in a picture in which one so wholeheartedly believes as ""Gentleman's Agreement.""  Thank you, everybody, for making this happen.  I am very proud to be a member of an industry which can promote so much understanding in a world which seems to need it so much.
"
1949,Actress,The Heiress,Olivia de Havilland," OLIVIA DE HAVILLAND:
Your award for ""To Each His Own"" I took as an incentive to venture forward. Thank you for this very generous assurance that I have not entirely failed to do so.
"
1949,Actress in a Supporting Role,All the King's Men,Mercedes McCambridge," MERCEDES McCAMBRIDGE:
I'm aware of those who have contributed to this moment, and thankful for them, but I would like to say to every waiting actor: Hold on! Look what can happen. Thank you very much.
"
1950,Actress in a Supporting Role,Harvey,Josephine Hull," JOSEPHINE HULL:
How wonderful of you.  Thank you all very much, and Mr. Brackett and all of the Academy.  I've heard of these wonderful occasions for years and this is the first time I've been here.  I must thank that 6 foot 4½ inch ""Harvey"" [pointing up to a tall nothing standing beside her].  ""Harvey"" has brought happiness for the past seven years all the way from Boston and New York, and here, which is the gateway to the world through Universal International.  And they gave us a wonderful director, a wonderful staff, a wonderful cast, and you.  Thank you.
"
1952,Actress in a Supporting Role,The Bad and the Beautiful,Gloria Grahame," GLORIA GRAHAME:
Thank you very much.
"
1953,Actress in a Supporting Role,From Here to Eternity,Donna Reed," DONNA REED:
Thank you. Oh it was a long walk, I didn't think I was going to make it. Well I'm very proud and I'm very grateful, especially to Columbia Pictures. It was a wonderful, wonderful experience, ""From Here to Eternity,"" but I think even more wonderful is from ""Eternity"" to here. Thank you.
"
1954,Actress,The Country Girl,Grace Kelly," GRACE KELLY:
The thrill of this moment keeps me from saying what I really feel.  I can only say thank you with all my heart to all who made this possible for me. Thank you.
"
1954,Costume Design (Black-and-White),Sabrina,Edith Head," EDITH HEAD (in Hollywood):
[No speech.]
"
1955,Actress in a Supporting Role,East of Eden,Jo Van Fleet," JO VAN FLEET:
I'm so happy.  Thank you.  There's so many, many people responsible for my being up here tonight.  I'd like to thank them all but I must thank Elia Kazan.  Thank you, Gadg.  Thank you.
"
1956,Actress in a Supporting Role,Written on the Wind,Dorothy Malone," DOROTHY MALONE:
Thank you all so much. I'd like to, I don't know how much time we have, but I'd like to accept this award in the name of my late little brother Bill. And I'd like to thank especially the Academy because I'm sure that this year, the four other girls, such stiff competition, it was a real... I really appreciate it. And I know I haven't got time to thank such loyal friends as Edna Benoit, and my producer Mr. Zugsmith. And Universal and all it's board of directors have been, had such confidence in me, like Mr. Muhl. And I want to thank the Screen Extras Guild and the Screen Actors Guild because we've had a lot of ups and downs together, and you understand all the crews I've worked with. Thank you so much and God love you all.
"
1957,Actress,The Three Faces of Eve,Joanne Woodward," JOANNE WOODWARD:
I can only say I've been daydreaming about this since I was nine years old. I thank you very much.  And thanks most of all to Nunnally for having more faith in me than I think anybody could have.  Thank you.
"
1957,Actress in a Supporting Role,Sayonara,Miyoshi Umeki," MIYOSHI UMEKI:
Thank you.  I really don't know what to say.  I wish somebody were to help me right now, 'cause I didn't expect so I had nothing in my mind.  But right now I thank you for everyone who help me, and you, and you, and all American people.  Thank you.
"
1958,Actress,I Want to Live!,Susan Hayward," SUSAN HAYWARD:
Thank you very much, ladies and gentlemen.  And thank you, ladies and gentlemen of the Academy, for making me so very, very happy tonight. And my special thanks to Mr. Walter Wanger who made this possible.  I thank you.
"
1959,Actress,Room at the Top,Simone Signoret," SIMONE SIGNORET:
I can't say anything. Oh, I thank you. I thank you so much. I wanted to be very dignified and all that, well I can't. You can't imagine what it is for me, being French. You can't imagine. And I want to thank Jimmy Woolf, and Jack Clayton, and Laurence Harvey because, it looks a little corny to say that, but you know that without them I wouldn't have never been here tonight. Thank you so, so much.
"
1959,Actress in a Supporting Role,The Diary of Anne Frank,Shelley Winters," SHELLEY WINTERS:
You know, it takes a lot of people to put this in your hand. First, someone has to write a dimensional role in a very fine motion picture. And next, somebody has to get you the part. Then you have to have a great director. And then you have to be nominated and voted. So I would like to thank the memory of that wonderful little girl, Miss Anne Frank, who wrote with such depth and perception about human beings. I'd like to thank my wonderful friend and creative agent, Mr. Herb Brenner. And Mr. George Stevens. And last but not least, I thank you, the Academy.
"
1960,Actress,Butterfield 8,Elizabeth Taylor," ELIZABETH TAYLOR:
I don't really know how to express my gratitude for this and for everything. I guess all I can do is say thank you, thank you with all my heart.
"
1960,Actress in a Supporting Role,Elmer Gantry,Shirley Jones," SHIRLEY JONES:
Thank you very much. I can only think that I wouldn't be standing here tonight accepting this Oscar if it weren't for another Oscar – Hammerstein – and Mr. Richard Rodgers. And also for the belief of Mr. Burt Lancaster, Mr. Richard Brooks, and Mr. Bernie Smith having me and allowing me to play the part of ""Lulu Bains"" in ""Elmer Gantry."" This is the proudest moment of my career because of them. Thank you all.
"
1961,Actress in a Supporting Role,West Side Story,Rita Moreno," RITA MORENO:
I can't believe it! Good Lord. I leave you with that.
"
1962,Actress in a Supporting Role,The Miracle Worker,Patty Duke," PATTY DUKE:
Thank you.
"
1962,Costume Design (Black-and-White),What Ever Happened to Baby Jane?,Norma Koch," NORMA KOCH:
My deepest appreciation to Robert Aldrich and all the ""Baby Jane's"" wherever you are.
"
1964,Actress,Mary Poppins,Julie Andrews," JULIE ANDREWS:
Thank you. Thank you. Thank you. Oh, this is lovely. I know you Americans are famous for your hospitality but this is really ridiculous. I have so many thank yous. I only know where to start and that's with Mr. Walt Disney, and naturally he has the largest thank you of all. I wouldn't know where to stop. I would somehow like to try and convey my really deep gratitude and, and well, gratefulness – well I just said that, hadn't I? – for being made to feel so really welcome in this country. Thank you very much indeed.
"
1964,Actress in a Supporting Role,Zorba the Greek,Lila Kedrova," LILA KEDROVA:
Do you know, really I am so surprised that I can't, I don't know what... I have to say, I think that I will say that, thank you to this marvelous people of [unintelligible] Academy Awards. And thank you, thank you so much my dear, dear Michael Cacoyannis. Because it was your fault, it was not mine. I will never forget it. Never.
"
1964,Costume Design (Black-and-White),The Night of the Iguana,Dorothy Jeakins," DOROTHY JEAKINS:
Thank you many people for many years work. I'm very grateful.
"
1965,Actress,Darling,Julie Christie," JULIE CHRISTIE:
I don't think I can say anything except to thank everyone concerned, and especially my darling John Schlesinger, for this wonderful honor.  Thank you.
"
1965,Actress in a Supporting Role,A Patch of Blue,Shelley Winters," SHELLEY WINTERS:
Thank you very much, members of the Academy, for giving this to me the second time in my life. I wish to thank very much my director, Mr. Guy Green, who truly understood the role I played better than I did. And I would like to especially thank Mr. Pandro Berman for not only making such a sensitive, beautiful picture about a subject of integration such as ""A Patch of Blue"" is, but for making the picture a box-office success, which is very important for subjects like these. And I'd like to thank my agent again, Herb Brenner. Thank you.
"
1967,Actress in a Supporting Role,Bonnie and Clyde,Estelle Parsons," ESTELLE PARSONS:
Boy, it's heavy! I have to thank David Merrick who let me out of my Broadway play ""The Seven Descents of Myrtle"" so I could be here this evening, and little did he know what it would really mean to me. I also first want to express my great gratitude to Arthur Penn, my own particular genius, for really showing me acting was something very special. And, of course, to Warren Beatty. And thank you all. This is a great moment.
"
1968,Actress,Funny Girl,Barbra Streisand," BARBRA STREISAND:
[To the Oscar:]  Hello, gorgeous.

And I'm very honored to be in such magnificent company as Katharine Hepburn. And gee whiz, it's kind of a wild feeling. Sitting there tonight I was thinking that the first script of ""Funny Girl"" was written when I was only eleven years old, and thank God it took so long to get it right, you know. So I would like to thank my co-producer Ray Stark for waiting till I grew up. And Jule Styne and Bob Merrill, for giving me such a great score to sing. And Isobel Lennart, for writing such a terrific character. And all the Hollywood people who made our show into a movie: Herb Ross, and my dear Harry Stradling who I haven't let go since, and my dear friend and director, William Wyler. Wow. It's like, somebody once said to me, asked me, if I was happy. And I said, ""Are you kidding? I'd be miserable if I was happy."" And I'd like to thank all the members of the Academy for making me really miserable. Thank you.
"
1968,Actress in a Supporting Role,Rosemary's Baby,Ruth Gordon," RUTH GORDON:
I can't tell you how encouragin' a thing like this is. The first film that I was ever in was in 1915 and here we are and it's 1969. Actually, I don't know why it took me so long; though I don't think, you know, that I'm backward. Anyway. Thank you, Bill. Thank you, Bob. Thank you, Roman. And thank you, Mia. And thank all of you who voted for me. And all of you who didn't, please excuse me.
"
1968,Jean Hersholt Humanitarian Award,None,Martha Raye," BOB HOPE:
Martha, I know that you probably don't realize you're the first woman to ever receive the Jean Hersholt Award.

MARTHA RAYE:
Yes, sir, I do realize it. I do realize it. [To Bob Hope:] I'm so nervous...

BOB HOPE:
I know, but you're on.

MARTHA RAYE:
[To Bob Hope:] Oh, I'm sorry...

Academy, ladies and gentlemen, my dear, beautiful legend Bob Hope. This is the most beautiful, honorable, wonderful, exciting day of my life – stateside. And on behalf of all of our troops, myself, I promise you I shall try for the rest of my life to really deserve and be worthy of this magnificent honor bestowed upon me. God bless you and thank you.
"
1969,Film Editing,Z,Françoise Bonnot," FRANÇOISE BONNOT:
Well I don't know how to, what to say. Just thank you. And I would like to thank Costa-Gavras who gave me the chance to do it.
"
1971,Actress,Klute,Jane Fonda," JANE FONDA:
Thank you.  Thank you very much, members of the Academy.  And thank all of you who applauded.  There's a great deal to say and I'm not going to say it tonight.  I would just like to really thank you very much.
"
1971,Actress in a Supporting Role,The Last Picture Show,Cloris Leachman," CLORIS LEACHMAN:
Oh, thank you.  I'm having an amazing life and it isn't over yet.  Remember when Ben Johnson said in ""The Last Picture Show,"" ""I fought all my life against..."" whatever he said.  And I feel I've fought all my life against clichés, and look at me, I'm a hopeless cliché.

I can't thank anybody.  I feel that we all have, are part of each other. That we've all contributed.  And we work together and we're all the same people. And I love you all for all the experiences I've had.  Except that I want to say to Cornelia Williams Hurlbut, my first piano teacher, and Rose Lorenz, my dancing teacher in Des Moines, and my father Buck Leachman who paid the bills – wait – and finally my mother, whose imagination and funny sense of humor and almost Walter Mitty life herself led to all of this.  I'm deeply honored. Thank you.
"
1972,Actress,Cabaret,Liza Minnelli," LIZA MINNELLI:
Thank you.  Thank you very much.  Making the film of ""Cabaret"" was one of the happiest times of my whole life and I would like to thank everybody connected with it but most especially the artistic staff:  Mr. Fosse, and Fred Ebb and John Kander.  And thank you for giving me this award.  You've made me very happy.
"
1972,Actress in a Supporting Role,Butterflies Are Free,Eileen Heckart," EILEEN HECKART:
I would like to thank the very first man who ever recommended me for this part, Howard Otway, and a darling crew, and of course you.  Thank you.
"
1972,Jean Hersholt Humanitarian Award,None,Rosalind Russell," ROSALIND RUSSELL:
Frank, you shouldn't go away; it seems like we've stood this way before.  But thank you dear, dear, wonderful friend.

And of course I am profoundly grateful to the governors of the Academy.  I was listening to his words back there, Frank, and I thought for a minute, someone out there'll think I was kind of special – far from it.  You know the people of this nation have a golden tradition of taking care of each other. And across America right now there are men and women, countless numbers of them, young and old, who are giving of themselves to hospitals, to orphanages, to drug clinics, to youth, and even possibly watching a little child take her first steps after being crippled as I have watched.  So the only unique thing about me tonight is that I am here with this, knowing that it belongs to so many others.  I would also like to tell you that I have been the victim of this kindness, and I want to thank each and every one of them and all the letters that were sent to me over the years for all they did for me while I was not quite well.  Thank you very much.
"
1973,Costume Design,The Sting,Edith Head," EDITH HEAD:
Just imagine dressing the two handsomest men in the world and then getting this.  I simply couldn't be more happy or more grateful, and thank you all so much.
"
1974,Actress in a Supporting Role,Murder on the Orient Express,Ingrid Bergman," INGRID BERGMAN:
Thank you very much indeed.  It's always very nice to get an Oscar.  But in the past he has shown that he is very forgetful and also has the wrong timing. Because last year when ""Day and Night"" won for the best picture I couldn't believe it that Valentina Cortese was not nominated, because she gave the most beautiful performance.  [Finds Cortese in the audience:]  There you are!  She gave the most beautiful performance that all we actresses recognized because, after all, we have all forgotten our lines and always open the wrong doors, and it was wonderful to see her do it so beautifully.  Therefore I am... It's so ironic that this year she's nominated when the picture won last year.  I don't quite understand that, but here I am and I'm her rival and I don't like it at all.  Please forgive me, Valentina.  I didn't mean to.  Thank you.
"
1974,Costume Design,The Great Gatsby,Theoni V. Aldredge," THEONI V. ALDREDGE:
I would like to thank the members of the Academy, Paramount, Mr. Hank Moonjean, Mr. David Merrick, and a very special man, my director Jack Clayton. I love you, Jack, and I'm very, very proud to have been a part of your film. Thank you, ladies and gentlemen.
"
1975,Actress,One Flew over the Cuckoo's Nest,Louise Fletcher," LOUISE FLETCHER:
Well, it looks like you all hated me so much that you've given me this award for it, and I'm loving every minute of it.  And all I can say is I've loved being hated by you.  I'd like to thank Fred Roos for remembering me, Milos Forman for choosing me, Michael Douglas and Saul Zaentz for taking a chance and giving me a chance, and Jack Nicholson and a cast of actors whose professionalism, humor and capacity for getting into their roles made being in a mental institution like being in a mental institution.  And if you'll excuse me [using sign language]:  for my mother and my father, I want to say thank you for teaching me to have a dream.  You are seeing my dream come true. Thank you.
"
1975,Actress in a Supporting Role,Shampoo,Lee Grant," LEE GRANT:
Thank you.  I really must have won it otherwise why would I wear an old wedding dress?  I think we [referring to the Oscar] had a fight twenty years ago, but he's changed.  I know I haven't.  But I would like to thank the artistic community for sustaining me in my wins and losses and sitting on the curb, whatever it was.  I don't think there's an award for what Warren Beatty had to do to get ""Shampoo"" on, but I respect him and love him, and Robert Towne.  And my director Hal Ashby, who encourages an actor to fly without a net because you know that he's there to catch you.  Thank you.
"
1975,Film Editing,Jaws,Verna Fields," VERNA FIELDS:
At first, I want to say that giving me this I consider a great tribute to our wonderful, fabulous, talented director, Steven Spielberg.  I would also like to say that being here at this time, after all these years, I really have a long list of thank yous which I won't bother you with, but I hope everybody on that list, primarily my two sons—I say thank you.
"
1976,Actress in a Leading Role,Network,Faye Dunaway," FAYE DUNAWAY:
It is heavy.  Well, I didn't expect this to happen quite yet but I do thank you very much and I'm very grateful.  I would like especially to thank Sidney Lumet, Paddy Chayefsky, Howard Gottfried, Danny Melnick, and the great generosity of a rare group of actors, company of actors, in particular William Holden, Robert Duvall and Peter Finch.  And may I just add, an especial thank you to the friends in the back room:  Susan Germaine and Lee Harman.  Thank you.
"
1976,Actress in a Supporting Role,Network,Beatrice Straight," BEATRICE STRAIGHT:
It's very heavy.  And I'm the dark horse.  And thank you so much, all of you. It's a great, great thrill for me and very unexpected.  Though I should have known that when I had someone like Paddy Chayefsky writing and saying things that we all feel but can't express, and when we have someone like Sidney Lumet who makes one want to act forever, and a producer like Howard Gottfried, then how can I miss?  But I know that my mother would be delighted.  She had great potential for an actress but didn't think she should do it, so she pushed me and was delighted.  And Michael Chekhov, the great actor and teacher who I studied with, who gave me a love and respect for the theater, which is the whole point of why we're all here.  It's a great profession and we have to keep thinking it all the time.  And we all do.  And we all love it.  And I'm so grateful for that and for a wonderful lady, age ninety-three, who lives here in Los Angeles, who's watching tonight.  One of our first women directors, who directed Paul Robeson in ""Othello"" in London:  Ellen van Volkenburg Browne.  Bright as ever.  Thank you.  And last but not least, my husband, who's put up with me for twenty-eight years.  Thank you so, so much.
"
1977,Actress in a Leading Role,Annie Hall,Diane Keaton," DIANE KEATON:
Mercy.  Well then, this is terrific.  It's simply terrific.  Naturally I'm very honored to have been nominated with actresses like Jane Fonda and Shirley MacLaine and Anne Bancroft and Marsha Mason; this is something.  Anyway, ""Annie Hall"" was a wonderful experience for me and I just would like to say thanks to Woody, and thank you.  Thank you very much.
"
1977,Actress in a Supporting Role,Julia,Vanessa Redgrave," VANESSA REDGRAVE:
My dear colleagues, I thank you very, very much for this tribute to my work. I think that Jane Fonda and I have done the best work of our lives and I think this was in part due to our director, Fred Zinnemann.  And I also think it's in part because we believed and we believe in what we were expressing. Two, out of millions, who gave their lives and were prepared to sacrifice everything in the fight against fascist and racist Nazi Germany.  And I salute you and I pay tribute to you and I think you should be very proud that in the last few weeks you've stood firm and you have refused to be intimidated by the threats of a small bunch of Zionist hoodlums whose behavior is an insult to the stature of Jews all over the world and to their great and heroic record of struggle against fascism and oppression.  And I salute that record, and I salute all of you for having stood firm and dealt a final blow against that period when Nixon and McCarthy launched a worldwide witch hunt against those who tried to express in their lives and their work the truth that they believed in.  I salute you, and I thank you, and I pledge to you that I will continue to fight against anti-Semitism and fascism.  Thank you.
"
1978,Actress in a Leading Role,Coming Home,Jane Fonda," JANE FONDA:
[Speaking simultaniously in sign language:]  I'm so happy.  I wanted to win very much because I'm so proud of ""Coming Home,"" and I want many people to see the movie.  I'm signing part of what I'm saying tonight because, while we were making the movie, we all became more aware of the problems of the handicapped. Over 14 million people are deaf.  They are the invisible handicapped and can't share this evening, so this is my way of acknowledging them.  [End sign language.]

I'm so proud and grateful.  It's been almost eight years.  This film, ""Coming Home,"" was born in Santa Monica where we live, in the cramped offices of the Indochina Peace Campaign, as a lot of us whose lives have been bound up with the war sat on the floor.  And some of them were veterans.  I thank, I thank all of them.  One of them was my husband, Tom Hayden; one of them was Bruce Gilbert, who has become my partner and is the associate producer of ""Coming Home.""

I want to thank Waldo Salt, the first – how do you...?  Heavy.  The first industry heavy who stuck his neck out and believed in the project.  In fact he believed so much in it that he worked for two years for nothing.  And he lead us to Jerry Hellman, our producer, who fought for us.  And I want to thank you, Jerry, very much.  And I want to thank Haskell Wexler who photographed it so sensitively and Bob Jones who came through in the pinch.  And I want to thank Hal Ashby; you're not here, Hal, but I want to thank you for your taste and for your courage, for your ability with the scissors.  And I want to thank Penny Milford and Bobby Carradine and Bruce Dern and my pal Jon Voight, and Mike Medavoy and Eric Pleskow and Arthur Krim and Marcia Nasatir for getting us the money to make it.

And finally I want to thank my children, Troy and Vanessa, for being understanding and forgiving me my absences.  And again my husband, who helped me believe that besides being entertaining movies can inspire and teach and even be healing.  Thank you, all of you.  Thank the Academy very much.
"
1978,Actress in a Supporting Role,California Suite,Maggie Smith," MAGGIE SMITH:
I just, I just really can't believe it.  I'm very, very honored and very grateful.  I would like to thank Neil Simon.  I would like to thank Herbie Ross.  And I would very much like Michael Caine to be here, because believe you me, he was the most supporting actor ever in the world, and it really should go right down the middle.  Thank you very much indeed.
"
1979,Actress in a Leading Role,Norma Rae,Sally Field," SALLY FIELD:
Oh, I'm gonna be the one to cry tonight, I'll tell you right now.  They said this couldn't be done.

""Norma Rae"" was a real gift to me.  It was given to me by Laddie and Jay and Gareth of the old Fox.  It was given to me by Alex Rose and Tamara Asseyev, who fought very hard to get it made.  It was given to me by Irving Ravetch and Harriet Frank, Jr.  And it truly was a gift, every single word.  It was given to me by John Alonzo, who followed me around with a camera and never hoped to shine himself, just gave it all to me.  It was given to me by the actors, especially Beau Bridges and Ron Leibman, whose real craft and talent and love and support is why I'm here.

And mostly it was given to me because of Marty Ritt.  Marty Ritt is ""Norma Rae.""  He has fought all his life to put on films that are courageous, that say things, that are part of him that he feels should be said, that have the box-office potential of seventy-five cents, sometimes less.  And I thank him for that.  He's taught me a lot.  And the best gift that Marty gave me was that he let me feel all the time that I was doing it myself, and I know that I didn't.

And on a personal note, I'd like to thank my mother and my sister for holding me together and just plain old holding me.  And my kids, Peter and Eli, for being my constant inspiration, and no matter how many awards I win, if it weren't them I wouldn't be worth a damn.  Thank you very much.
"
1979,Actress in a Supporting Role,Kramer vs. Kramer,Meryl Streep," MERYL STREEP:
Holy mackerel.  I'd like to thank Dustin Hoffman and Robert Benton to whom I owe this. Stanley Jaffe, for giving me the chance to play ""Joanna.""  And Jane Alexander and Justin [she blows a kiss], for the love and support during this very, very delightful experience.  Thank you very much.
"
1980,Actress in a Leading Role,Coal Miner's Daughter,Sissy Spacek," SISSY SPACEK:
Oh my goodness.  I want to thank all of you so much.  I'm...this is the greatest.  I...for the first time in my life I'm speechless.  I started to work on ""Coal Miner's Daughter"" with a bunch of strangers and I finished working on ""Coal Miner's Daughter"" with a bunch of friends.  And I want to thank Loretta Lynn, and my wonderful director Michael Apted, and Tommy Lee Jones—my Doolittle—and Beverly D'Angelo, and Bob Larson, and Sean Daniel, and Bernie Schwartz, and Michael Chinich, and Tom Rickman, and Joe Tompkins, and Pam Wise.  And the lady who gave me all that hair, Lorraine Roberson.  And my wonderful husband Jack.  And all the cast and crew that worked on ""Coal Miner's Daughter.""  I share this with you and I love you.  And Mama and Daddy, I love you, too.
"
1980,Actress in a Supporting Role,Melvin and Howard,Mary Steenburgen," MARY STEENBURGEN:
Well I'm gonna to have to figure out something new to dream about, that's for sure.  Nobody ever accused me of being a fast talker but I'm gonna try tonight because this supporting actress was supported by a great many people, a few whom I would like to quickly thank.

I'd like to thank my family in Arkansas for always believing against all odds that something like this was gonna happen.  And then I'd like to thank two teachers, Sandy Meisner and Kenneth Gillam*, for the profound influence that they had upon my work.  And then if anybody ever had a patron saint it was me. In 1977, when he insisted on casting me as his leading lady in a film called ""Goin' South,"" everybody told him he was crazy.  But thank goodness for me that he was and is Jack Nicholson.  Thank you very much.

There's a couple more.  Thank you, Melvin Dummar, for the inspiration.  Bo Goldman, for the simple splendor of your words.  And Jonathan Demme, thank you for your vision and your talent and for the plain, old-fashioned fun it was to work with you.  Thank you, Don Phillips and Art Linson, our producers.  Jason Robards, Paul Le Mat, Pamela Reed and the rest of the wonderful cast and crew of ""Melvin and Howard.""  And last of all, I must thank you, Malcolm, for making life so nice that I feel like tap dancing.  Thanks a lot.
"
