Year,Category,Film Title,Winner_x,Speech,YouTube,Winner_y
1968,Honorary Award,Planet of the Apes,"To John Chambers for his outstanding makeup achievement for ""Planet of the Apes."""," JOHN CHAMBERS:
[The Oscar statuette is brought on stage by a chimp wearing a tuxedo.]  How can I follow an act like that?

May I thank the Board of Governors for this wonderful honor. And may I thank Mr. Zanuck, Mr. Jacobs, and Ben Nye and Dan Striepeke who share this award with me I say. But most of all, all those wonderful makeup men and hairstylists that worked so hard to make this picture a success. From all of us to all of you, God bless you and thank you so much.
",,Onna White
1968,Honorary Award,Oliver!,"To Onna White for her outstanding choreography achievement for ""Oliver!"""," ONNA WHITE:
[Mark Lester brings the Oscar statuette on stage and hands it to Onna White.]  You all recognize the young man who plays ""Oliver"" in our film, Mark Lester. Thank you.

There's a first time for everything and this is my first time tonight. On Broadway I've had seven nominations and never won, and what a marvelous way to win one with this special. I want to thank everyone in the Academy and everyone concerned with ""Oliver!"" I'd like to mention each one but I'm afraid I'll forget somebody so I'll just thank them all collectively. However, we all want to make special mention of the gentleman who collected and guided us through the whole thing: Mike Frankovich. I would like also to thank my assistant Tom Panko, who did a great deal and helped me a lot. Thank you very much. And thank the Academy again.
",,Onna White
1969,Actress in a Supporting Role,Cactus Flower,Goldie Hawn (not present; accepted by Raquel Welch)," RAQUEL WELCH:
Thank you. It's a pleasure to accept this award for her. She couldn't be here because she's in London filming. But I know she would want to thank all her co-stars, Walter Matthau and Ingrid Bergman, her director Gene Saks, and Mike Frankovich. And I think it's wonderful for her. Thank you.
",,Goldie Hawn
1969,Costume Design,Anne of the Thousand Days,Margaret Furse (not present; accepted by presenter)," CANDICE BERGEN:
Miss Furse is in England working on the film production of ""Scrooge"" and I've been asked to accept this award for Maggie and to extend her sincere thanks to all. Thank you.
",,Margaret Furse
1970,Actress in a Supporting Role,Airport,Helen Hayes (not present; accepted by Rosalind Russell)," ROSALIND RUSSELL:
Well, on behalf of dear Helen, who is First Lady of the theater and certainly first tonight in most of our hearts, I know that she would want me to thank George Seaton who directed her in the film, and her beloved friend and that great and wonderful producer, Mr. Ross Hunter, who produced the film. Thank you very much.
",,Helen Hayes
1970,Honorary Award,None,To Lillian Gish for superlative artistry and for distinguished contribution to the progress of motion pictures.," LILLIAN GISH:
I'm speechless. And there are only two words that I can say from my beloved sister and myself for this warm tribute from all my friends and all of you of the Academy:  thank you. And all the charming ghosts I feel around me who should share this, it was our privilege for a little while to serve that beautiful thing, the film. And we never doubted for a moment that it was the most powerful thing, the mind and heartbeat of our technical century. I hope we served it well and I do thank you with all my heart for all of us that this represents. Good night.
",,Lillian Gish
1970,Honorary Award,None,To Orson Welles for superlative artistry and versatility in the creation of motion pictures. (accepted on film)," ORSON WELLES:
Ladies and gentlemen, with this great honor may I say that it's a lot more fun to look forward. Looking backward over some thirty years in the movies is something that I like to do as seldom as possible, but I can't forget that I didn't spend those years alone. Every filmmaker knows how much was done for him and by how many. If I could call just half of all those who deserve it to stand beside me now in front of this camera, just to get 'em in one shot we'd need Cinerama. It'd be quite a crowd scene.

As for the public, I hope that they will understand why this is the more precious just because it does not come to me from them, much less from the critics, but from movie people themselves, the ones who love movies most. We need the public; the public doesn't need us. That's the truth of it. We don't really fill a pressing popular need; we try to create it. And if we didn't love movies as much as we do, if we weren't a little crazy on the subject, there wouldn't be any movies at all. I treasure this award as an expression of this happy lunacy, and may I accept it, please, not so much for what I may have done as for what I hope to do. God willing I'm going to make some movies that deserve it. Meanwhile, this encouragement is very welcome. With all my heart, I thank you for it.
",,Lillian Gish
1970,Irving G. Thalberg Memorial Award,None,Ingmar Bergman (not present; accepted by Liv Ullmann)," LIV ULLMANN:
This is my first visit to Los Angeles and I have enjoyed every moment of it. I met a lot of warm, generous people and I am very happy that Ingmar Bergman asked me to represent him on this big occasion, though I would have been more happy if he himself could have been here tonight getting personally all the respect and love which has been shown him. He has asked me to say to you that he is sitting on his little island in the Baltic writing on a new script. He isn't here because he feels that a long trip at this moment would do great harm to his concentration on work and he believes that he shows his respect and gratefulness to the honor bestowed to him by the Board and members of the Academy by staying home finishing his script. And he also feels that this fantastic award will inspire him in his fulfillment of his work. Ingmar Bergman says, ""I am deeply touched and very, very grateful.""
",,Liv Ullmann
1971,Actress in a Supporting Role,The Last Picture Show,Cloris Leachman," CLORIS LEACHMAN:
Oh, thank you.  I'm having an amazing life and it isn't over yet.  Remember when Ben Johnson said in ""The Last Picture Show,"" ""I fought all my life against..."" whatever he said.  And I feel I've fought all my life against clichés, and look at me, I'm a hopeless cliché.

I can't thank anybody.  I feel that we all have, are part of each other. That we've all contributed.  And we work together and we're all the same people. And I love you all for all the experiences I've had.  Except that I want to say to Cornelia Williams Hurlbut, my first piano teacher, and Rose Lorenz, my dancing teacher in Des Moines, and my father Buck Leachman who paid the bills – wait – and finally my mother, whose imagination and funny sense of humor and almost Walter Mitty life herself led to all of this.  I'm deeply honored. Thank you.
",,Cloris Leachman
1971,Costume Design,Nicholas and Alexandra,"Yvonne Blake, Antonio Castillo (Castillo not present)"," YVONNE BLAKE:
Ladies and gentlemen – I can hardly lift it it's so heavy.  Thank you so very, very much.  It's a great honor on behalf of Antonio Castillo and myself and our huge wardrobe department that we had on the film.  And I suppose all one can say is that if it wasn't for the Russian Revolution I wouldn't be here.
",,Yvonne Blake
1972,Actress in a Supporting Role,Butterflies Are Free,Eileen Heckart," EILEEN HECKART:
I would like to thank the very first man who ever recommended me for this part, Howard Otway, and a darling crew, and of course you.  Thank you.
",,Eileen Heckart
1972,Documentary (Feature),Marjoe,"Howard Smith and Sarah Kernochan, Producers"," SARAH KERNOCHAN:
Hi.  There are a lot of people to thank and they know, they all know who they are, but we would like to single out three people for free airtime:  Fred Underhill, our associate producer; Larry Silk, king of editors; and especially Max Palevsky, our executive producer.

HOWARD SMITH:
Who was really – well, Max was really more an executive friend.  He really had faith in us and came through whenever we really needed it.

SARAH KERNOCHAN:
So thank you, Max.  And also thanks to all the friends of the production who told us to keep this speech good and short.
",,Sarah Kernochan
1972,Documentary (Short Subject),This Tiny World,"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers (not present; accepted by presenters)"," [Winners not present.]
",,Martina Huguenot van der Linden
1972,Jean Hersholt Humanitarian Award,None,Rosalind Russell," ROSALIND RUSSELL:
Frank, you shouldn't go away; it seems like we've stood this way before.  But thank you dear, dear, wonderful friend.

And of course I am profoundly grateful to the governors of the Academy.  I was listening to his words back there, Frank, and I thought for a minute, someone out there'll think I was kind of special – far from it.  You know the people of this nation have a golden tradition of taking care of each other. And across America right now there are men and women, countless numbers of them, young and old, who are giving of themselves to hospitals, to orphanages, to drug clinics, to youth, and even possibly watching a little child take her first steps after being crippled as I have watched.  So the only unique thing about me tonight is that I am here with this, knowing that it belongs to so many others.  I would also like to tell you that I have been the victim of this kindness, and I want to thank each and every one of them and all the letters that were sent to me over the years for all they did for me while I was not quite well.  Thank you very much.
",,Rosalind Russell
1973,Actress in a Supporting Role,Paper Moon,Tatum O'Neal (accompanied on stage by her grandfather Charles O'Neal)," TATUM O'NEAL:
All I really want to thank is my director Peter Bogdanovich and my father. Thank you.

CHARLES O'NEAL:
[Inaudible...] her grandfather thanks you, her father thanks you and I know Tatum thanks you.
",,Tatum O'Neal
1973,Costume Design,The Sting,Edith Head," EDITH HEAD:
Just imagine dressing the two handsomest men in the world and then getting this.  I simply couldn't be more happy or more grateful, and thank you all so much.
",,Edith Head
1973,Best Picture,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers"," TONY BILL:
Well, I would just like to say thank you to the motion picture business and industry and people, whoever you are and wherever you are, that have made my twelve years so much fun and given me so many friends.  And it looks like there's another year to follow.  Thank you.

JULIA PHILLIPS:
You can imagine what a trip this is for a Jewish girl from Great Neck. Tonight I get to win an Academy Award and meet Elizabeth Taylor all in the same moment.  Thank you so much.

MICHAEL PHILLIPS:
My prepared remarks went out the window also.  I just want to thank David Ward for making this possible and George Roy Hill for making it happen.  And my partners Tony and Julia, for bringing me into this incredible industry.
",,Julia Phillips
1974,Actress in a Supporting Role,Murder on the Orient Express,Ingrid Bergman," INGRID BERGMAN:
Thank you very much indeed.  It's always very nice to get an Oscar.  But in the past he has shown that he is very forgetful and also has the wrong timing. Because last year when ""Day and Night"" won for the best picture I couldn't believe it that Valentina Cortese was not nominated, because she gave the most beautiful performance.  [Finds Cortese in the audience:]  There you are!  She gave the most beautiful performance that all we actresses recognized because, after all, we have all forgotten our lines and always open the wrong doors, and it was wonderful to see her do it so beautifully.  Therefore I am... It's so ironic that this year she's nominated when the picture won last year.  I don't quite understand that, but here I am and I'm her rival and I don't like it at all.  Please forgive me, Valentina.  I didn't mean to.  Thank you.
",,Ingrid Bergman
1974,Costume Design,The Great Gatsby,Theoni V. Aldredge," THEONI V. ALDREDGE:
I would like to thank the members of the Academy, Paramount, Mr. Hank Moonjean, Mr. David Merrick, and a very special man, my director Jack Clayton. I love you, Jack, and I'm very, very proud to have been a part of your film. Thank you, ladies and gentlemen.
",,Theoni V. Aldredge
1975,Actress in a Supporting Role,Shampoo,Lee Grant," LEE GRANT:
Thank you.  I really must have won it otherwise why would I wear an old wedding dress?  I think we [referring to the Oscar] had a fight twenty years ago, but he's changed.  I know I haven't.  But I would like to thank the artistic community for sustaining me in my wins and losses and sitting on the curb, whatever it was.  I don't think there's an award for what Warren Beatty had to do to get ""Shampoo"" on, but I respect him and love him, and Robert Towne.  And my director Hal Ashby, who encourages an actor to fly without a net because you know that he's there to catch you.  Thank you.
",,Lee Grant
1975,Costume Design,Barry Lyndon,"Ulla-Britt Soderlund, Milena Canonero (Canonero not present)"," ULLA-BRITT SODERLUND:
It's a great honor to be a Swedish costume designer and having received this award.  I'm very happy you liked the costumes of ""Barry Lyndon"" that you thought I should receive it.  It was a long way to come from Scandinavia but it was worth it.  Thank you very much.
",,"Milena Canonero
Ulla-Britt Söderlund"
1975,Documentary (Short Subject),The End of the Game,"Claire Wilbur and Robin Lehman, Producers"," CLAIRE WILBUR:
Wow.  They have told me that the talent of a producer lies in the talents the producer selects to work with.  And I think I showed the producer's talent when I picked Robin Lehman to work with.

ROBIN LEHMAN:
I'm a fool if I open my mouth after that one.  Anyway, it's a little difficult to have an idea, you know, come up with an idea to make a film. It's even more difficult to make that film.  The worst problem of all is to find out what's wrong with the film.  And this lady helps me find out what's wrong with the film.  I owe her thanks.  I would like to thank the Academy and all of those who worked so hard to make this all happen and to make this all glitter.  Thank you very much.
",,Claire Wilbur
1975,Honorary Award,None,To Mary Pickford in recognition of her unique contributions to the film industry and the development of film as an artistic medium. (on tape)," WALTER MIRISCH:
Mary, I present this to you with great pride and with the love and admiration of the whole Academy.

MARY PICKFORD:
That's wonderful.  You've made me very, very happy and thank you.

WALTER MIRISCH:
Well, it's nice to see another [Oscar], isn't it?

MARY PICKFORD:
It certainly is.

WALTER MIRISCH:
He hasn't changed very much in all this time, has he?

MARY PICKFORD:
Well, I hope not.

WALTER MIRISCH:
No, he hasn't.  He hasn't.  There've been a lot of him made and a lot of marvelous actors and actresses have won him, and it's only proper that finally he's come back to you again.

MARY PICKFORD:
Well, it's very nice to be able to thank them all, and especially you.  Thank you.

WALTER MIRISCH:
And you for all you've contributed to this great industry of ours.

MARY PICKFORD:
I shall treasure it always.
",,Mary Pickford
1976,Actress in a Leading Role,Network,Faye Dunaway," FAYE DUNAWAY:
It is heavy.  Well, I didn't expect this to happen quite yet but I do thank you very much and I'm very grateful.  I would like especially to thank Sidney Lumet, Paddy Chayefsky, Howard Gottfried, Danny Melnick, and the great generosity of a rare group of actors, company of actors, in particular William Holden, Robert Duvall and Peter Finch.  And may I just add, an especial thank you to the friends in the back room:  Susan Germaine and Lee Harman.  Thank you.
",,Faye Dunaway
1976,Actress in a Supporting Role,Network,Beatrice Straight," BEATRICE STRAIGHT:
It's very heavy.  And I'm the dark horse.  And thank you so much, all of you. It's a great, great thrill for me and very unexpected.  Though I should have known that when I had someone like Paddy Chayefsky writing and saying things that we all feel but can't express, and when we have someone like Sidney Lumet who makes one want to act forever, and a producer like Howard Gottfried, then how can I miss?  But I know that my mother would be delighted.  She had great potential for an actress but didn't think she should do it, so she pushed me and was delighted.  And Michael Chekhov, the great actor and teacher who I studied with, who gave me a love and respect for the theater, which is the whole point of why we're all here.  It's a great profession and we have to keep thinking it all the time.  And we all do.  And we all love it.  And I'm so grateful for that and for a wonderful lady, age ninety-three, who lives here in Los Angeles, who's watching tonight.  One of our first women directors, who directed Paul Robeson in ""Othello"" in London:  Ellen van Volkenburg Browne.  Bright as ever.  Thank you.  And last but not least, my husband, who's put up with me for twenty-eight years.  Thank you so, so much.
",,Beatrice Straight
1976,Documentary (Feature),"Harlan County, U.S.A.","Barbara Kopple, Producer"," BARBARA KOPPLE:
I, too, can't think of a greater honor than to be given this award by Lillian Hellman.  Many people worked on this film donating their time and energy, and without it, it could never have been made.  But I accept this award on the behalf of the miners of Harlan County who took us into their homes, trusted us, and shared their love with us.  And it is their commitment and loyalty which is honored here tonight.  Thank you very much.
",,Barbara Kopple
1976,Documentary (Short Subject),Number Our Days,"Lynne Littman, Producer"," LYNNE LITTMAN:
I can't think of a greater honor than to receive this from Miss Hellman. Thank you.  This film was a collaboration filled with love between Barbara Myerhoff and myself, and I think that feeling spilled over into our wonderful editor Lewis Teague, our cameraman Neil Reichline.  I'd like to thank Public Television for allowing me to break all the rules and spend a little more money than I should have.  I'd like to thank the man I love for not allowing me to break us up.  And mostly the magic came from Dr. Myerhoff and from the incredible old people who let us into their lives.  They gave me an image of my Jewish heritage and, hopefully, of the exuberance of old age.  Thank you. Thank you very much.
",,"Lynne Littman
Barbara Myerhoff"
