Year,Category,Winner,Speech
1987 (60th) Academy Awards,Actress in a Supporting Role,Olympia Dukakis," OLYMPIA DUKAKIS:
Well, I'm very honored.  I want to thank the members of the Academy.  I want to say, yet again, thank you to Norman, to Patrick Palmer, and to John Patrick Shanley.  To my family, my husband who has been my companion through this, through my career, through my life.  To my friends and colleagues in New York and at the Whole Theatre, thank you very much.  Okay, Michael, let's go!
"
1987 (60th) Academy Awards,Documentary (Short Subject),"Sue Marx and Pamela Conn, Producers"," PAMELA CONN:
We just tried to make a little film that said it's not only okay to grow old but that it can be wonderful to grow old.  We thank Tom Campau, our cameraman; Jeff Jones, our wonderful soundman; and Larry Marshall, our cinematographer. And thanks, Mom, for being there.

SUE MARX:
A special thanks to the stars of our little movie:  My daddy, who is right over there, who just celebrated his eighty-seventh birthday last week, and his new bride, eighty-five.  Reva and Lou, our stars.  You've been an inspiration to us both on and off the screen.  To my husband, my best friend, Hank, thank you for being there for me all these years.  To the Academy, who said yes and who loved our film as much as we loved bringing it to you.  Well, from Hollywood:  Hooray for Michigan!

PAMELA CONN:
We did something right.  Thank you.
"
1988 (61st) Academy Awards,Music (Original Song),Music and Lyric by Carly Simon," CARLY SIMON:
Thank you so much.  Thank you.  This is really for you, Mike.  You are the guardian angel tonight.  Thank you so much.  And thank you to my husband, Jim Hart, for writing the best lines in the song.  Thank you, sweetheart.  And to Twentieth Century Fox and to Clive Davis and everyone at Arista.  And to Rob Mounsey, who made the song sound good.  And my children, if you found a television set on that island where you are, your mama's really proud.
"
1990 (63rd) Academy Awards,Honorary Award,"To Sophia Loren, one of the genuine treasures of world cinema who, in a career rich with memorable performances, has added permanent luster to our art form."," SOPHIA LOREN:
Thank you very much, Gregory.  And every friend and every colleague, your generosity fills me with happiness and great pride.  I remember my first Oscar.  It was so overwhelming for me that the terror of having to face you all made me find so many excuses not to be with you thirty, thirty years ago. Tonight I'm still scared, but I'm not alone.  And I will share this eventful evening with the three men in my life.  My husband Carlo Ponti, without whom I wouldn't be the person I am today.  And my two sons, Carlo, Jr. and Edoardo, that taught me to conjugate the verb ""to love.""  Now a thousand feelings crowd my heart while I'm holding this wonderful statue and words are very difficult to find for me and to express it all in this wonderful moment in my life, so I'll try to revert in my native language and say simply: Grazie, America. Thank you.
"
1991 (64th) Academy Awards,Writing (Screenplay Written Directly for the Screen),Callie Khouri," CALLIE KHOURI:
Hi.  Well, for everybody that wanted to see a happy ending for ""Thelma & Louise,"" to me this is it.  I have a lot of people I want to thank so I'll get started.  Ridley, I couldn't thank you in forty-five years much less forty-five seconds so I won't try now.  Geena and Susan, I think you've made the world a better place for those performances.  I love you.  I want to thank my husband who helped me so much in ways that I could never tell him, and it wasn't by being like ""Darryl.""  He wasn't the model for any of the characters. In fact my brother was.  I'm just kidding.  I really want to thank my mother who taught me everything about love and loyalty that a gal could ever need to know.  And all my friends and family, thank you.  Thanks.
"
1992 (65th) Academy Awards,Documentary (Short Subject),"Thomas C. Goodwin and Gerardine Wurzburg, Producers (Wurzburg accepted for both)"," GERARDINE WURZBURG:
Pretty heavy [referring to the Oscar] when you have to carry two.  Thank you, Academy.  And I'm dedicating this to my partner, Tom Goodwin—business partner—who died this past year, and his wife Dorothy Jackson.  At Home Box Office, I want to thank for her vision and faith, Sheila Nevins; and thank you, Michael Fuchs, Carole Rosen, Milton Ginsberg and Carrie Anne Tollis*. Thanks and love to Peter's family, Martha Stallings and the third grade class at Gilbert Linkous, Doug Bickel*, and Gary Griffin, Bob Silverthorne, Dan Rogers*.  And from State of the Art, Laura Nieboer, Debbie Mertin*, Roberta Hank and Susan Gonzales.  My family and siblings, my husband Grady, my daughters Charlotte and Emily.  And I'd like to say for the advocates of full inclusion for people with disabilities in our society, let us please move forward.  Thank you very much.
"
1993 (66th) Academy Awards,Writing (Screenplay Written Directly for the Screen),Jane Campion," JANE CAMPION:
Well, when I was a student, which doesn't feel like so very long ago, I used to feel deeply cynical about awards nights like this, but tonight I'm really overwhelmed.  In fact I've been close to tears a few times.  And I'm just very pleased to be here and very proud to win this award.  And I'd like to say a very big thank you to my actors: Holly; Anna; Harvey and Sam who aren't here but were such gorgeous, tender, and vulnerable men in ""The Piano.""  I'd like to say, Michael Nyman, your music was just so extraordinary.  To me it was the heart of the film.  Jan, thank you for being my friend and producer.  A great big kiss to you, Colin, my husband.  And a special thank you to the Miramax brothers, Harvey and Bob, for bringing this film to America.  Thank you very much.
"
1994 (67th) Academy Awards,Best Picture,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers"," WENDY FINERMAN:
I'd like to say thank you to the Academy for this honor.  And it's just so wonderful to be acknowledged with a great group of movies.  Nine years ago I met a very special man who has since taken me on an amazing journey.  There were many people who gave him gifts along the way.  Eric Roth, you gave ""Forrest"" a soul.  Tom Hanks, you gave ""Forrest"" a heart.  And Bob Zemeckis, you gave ""Forrest"" a vision.  Steve Tisch and Steve Starkey, you were great co-parents.  ""Forrest"" was a labor of love to many people:  our wonderful cast and crew, Sherry, Jon, Michelle, John, Barry, Arthur, all the people at Paramount, Winston, Craig, Rand.  To my parents, grandparents, family, thank you for your support.  To my husband Mark Canton, for your love and always saying go make this dream a reality.  My parents always said dreams can come true, and to my own children, Dorothy, Henry and James, if you doubt it, please remember tonight because I always will.  Thank you.

STEVE TISCH:
All over the political map people have been calling ""Forrest"" their own.  But ""Forrest Gump"" isn't about politics or conservative values.  It's about humanity.  It's about respect, tolerance and unconditional love.  And tonight we should all feel proud that we are in a business where we entertain, we educate, and we empower.  I'd like to thank my family, my parents Joan and Bob, love to Jamie and to my two wonderful children, Hilary and Willy, and to my four best friends.  And finally, thanks to all the ""Forrest Gumps"" in the world.

STEVE STARKEY:
Well, I truly want to thank the Academy for making me the final person to thank them tonight.  Now I don't know if it was destiny or if it was chance that brought together the talented cast and extraordinary crew of ""Forrest Gump,"" but maybe as ""Forrest"" said: ""Maybe it was both, maybe both were happening at the same time.""  But in any case, as I look back I can't imagine making this film without any one of them or without the commitment of Sherry Lansing and Paramount Studios.  But most of all, the picture could not have been made without the gentle spirit of Tom Hanks and the guidance and inspiration of the guy we fondly call Bob Z, the truly visionary director Bob Zemeckis.  And I wish to thank them all, and especially my wife Olivia who has stood beside me over the years in everything I've done.  And hello to my parents.  Thank you all very much.
"
1994 (67th) Academy Awards,Short Film (Live Action),"Peggy Rajski, Randy Stone"," PEGGY RAJSKI:
Well, ""Trevor"" first came to life as a stage piece conceived after our wonderful writer James Lecesne heard a report on NPR about teen suicide and learned that approximately one-third of all teens who kill themselves are gay. We made our film for anyone who's ever felt like an outsider.  It celebrates all those who make it through difficult times and mourns those who didn't.  In honoring us the Academy honors everyone who so generously supported our project.  Our thanks to them and my husband Josh who helps make all things possible.

RANDY STONE:
This project was a perfect experience for us.  From the beginning it seemed to be blessed.  Everybody we asked to help said yes.  Peggy, James and myself wanted to send a message.  Our cast, crew and contributors made it possible. We want to thank our family and friends, Alan Landsburg, Peter Roth, Charlie Goldstein, and especially Jodie [Foster], whose love, support and encouragement inspires and helped us achieve our best.  We love you.  Thank you.
"
1994 (67th) Academy Awards,Short Film (Live Action),"Peter Capaldi, Ruth Kenley-Letts"," RUTH KENLEY-LETTS:
This is very, very thrilling for us.  I'd like to take this opportunity to thank the Academy, and I'd also like to very much thank the Scottish Film Production Fund and BBC Scotland who backed our film with so much goodwill and generosity.  I'd also like to thank my husband Crispin Letts who makes everything possible for me.  And now I'm going to pass you over to Peter. Thank you.

PETER CAPALDI:
Okay, thanks.  I've got nineteen seconds for a very short speech and I'd like to thank everybody who worked on the film, who gave of themselves [unintelligible] of their talent and generosity.  Richard E. Grant, who was fabulous; Ruth Kenley-Letts, who is a fabulous producer; and Elaine Collins, who was the real creative dynamo behind it all.  And my mum and dad, and the Academy.  Thanks a lot.  Bye.
"
1995 (68th) Academy Awards,Short Film (Live Action),"Christine Lahti, Jana Sue Memel"," CHRISTINE LAHTI:
Thank you so much.  I must share this great honor with all the nominated directors, with all the other men and women out there struggling to make short films; but guys, I'm gonna keep it at my house, okay?!  I have to thank Leslie Hoffman, Steve Hewitt, Polly Platt, Marc Reshovsky, Lisa Bromwell, and a great crew.  My cast, especially Danny Aiello and Nancy Travis.  My husband Tommy Schlamme, who inspired and supported me every step of the way.  Emma, Joe and Wilson, my treasures -- I love you.  And Dad at home and Mom, you're right here tonight [pointing to her heart], forever.  This is for you.  And now thank you to Jana Memel.

JANA SUE MEMEL:
Thank you, Showtime, John Vasey, Hillary Ripps, Thom Colwell, and especially Roy Langboard*, and my parents.  Good night, Molly and Zoe.  Thank you.
"
1996 (69th) Academy Awards,Music (Original Musical or Comedy Score),Rachel Portman," RACHEL PORTMAN:
Thank you, thank you.  I would like to thank Doug McGrath who's a wonderful person to work with.  The producers of ""Emma,"" Harvey Weinstein and everyone at Miramax.  My agents, Richard and Lyn.  My wonderful parents, my husband, family, friends, for all their support.  And lastly, all the musicians and team of people back in England who worked with me on ""Emma.""  Thank you.
"
1997 (70th) Academy Awards,Actress in a Supporting Role,Kim Basinger," KIM BASINGER:
Oh my God!  Thank you!  Thank you!  Thank you!  Wait a minute, we did only get thirty seconds, and to give a thousand thank you's.  I just want to thank everybody I have ever met in my entire life.  Curtis Hanson, Curtis Hanson, Curtis Hanson.  The cast and crew from the movie.  I could not have done this without them.  Annett Wolf, my great friend Georgia, my sister Ashley, my husband Alec, my baby girl Ireland.  If anyone has a dream out there, just know that I am living proof that they do come true.  Thank you so much to the Academy.  I am so grateful for this.  And Daddy, this is for you.
"
1997 (70th) Academy Awards,Costume Design,Deborah L. Scott," DEBORAH L. SCOTT:
Thank you very much to the Academy.  I am deeply honored to accept this award on the behalf of David LeVey, Beth Koenigsberg, Lahly Poore, Matt Reitsma, Dale Wibben, Dominic Gherardi, Jean Gold, and the rest of my remarkable costume crew.  Their dedication, talent, friendship and guidance helped fulfill my dream to bring the spirit of Titanic and her passengers to life. Thank you, Jim Cameron, for the first-class passage.  Thanks, Jon Landau and Rae Sanchini, for such fine navigation.  For my parents, my husband, and finally my two daughters Tess and Hana, whose beauty is my greatest inspiration, thank you.
"
1998 (71st) Academy Awards,Documentary (Short Subject),Keiko Ibi," KEIKO IBI:
Thank you.  Who would have thought a girl from Japan can make a movie about Jewish senior citizens and actually receive this award.  Thank you.  I'm extremely grateful to Seth Glassman and my wonderful, wonderful seniors in my movie.  And extra special, special thanks to Sheila Nevins of HBO, and my editor Milton Ginsberg, who's here up there somewhere, and my cinematographer, my co-filmmaker, my husband, Greg Pak.  And I would also like to thank the Academy for recognizing the short documentary films.  And I hope that you will continue to do so.  And finally, my mother, for letting me come to the United States so I can follow my dream to become a filmmaker.  Thank you.
"
1999 (72nd) Academy Awards,Short Film (Live Action),"Barbara Schock, Tammy Tiehel"," BARBARA SCHOCK:
The subject of this film, my mother, is in the audience, and I think she's probably fainted.  We'd like to thank our cinematographer Chris Manley.  Rex Pickett, for his wonderful screenplay.  Our lovely lead actress Helen Stenborg.  My deepest thanks goes to our executive producer and my husband, John Martin, for helping me think straight and making everything possible. And to my family and friends, whose support has been so unwavering.  I've dreamed of giving something in return.  This is for my mom and dad and for all the talented people who helped us make this film.

TAMMY TIEHEL:
Thanks also so much to the bikers who helped us out.  And I'd like to personally thank my family: Bob and Pat Tiehel, my sisters, my grandmothers, everybody who's watching me in Ridley Park, my husband Bill Stedman.  And Keith Smith and Rick Worley*.  Thank you so much.
"
2000 (73rd) Academy Awards,Actress in a Supporting Role,Marcia Gay Harden," MARCIA GAY HARDEN:
Thank you.  What a thrill.  Members of the Academy, thank you.  Thank you for taking the time to even view the tape and consider our film.  Ed Harris, thank you for inviting me to share your passion.  You are a brave director and an even braver actor and I love you.  Dad, who's here tonight, thank you for teaching me how to soldier through tough situations, and Mom, for teaching me how to do it gracefully.  To Fred Berner, Peter Brant and Joe Allen, thank you for rearing this film and for ushering it into the world.  Sony Pictures Classics and especially Michael Barker.  To my family and my agents and Maryellen Mulcahy, without whom I would never be here.  My lawyer.  My husband Thaddaeus Scheel.  All the people who help you in this crazy business, I want to thank you.  And for the inception of the film, James Trezza and Barbara Turner.  Thank you.
"
2000 (73rd) Academy Awards,Costume Design,Janty Yates," JANTY YATES:
Thank you, Academy.  Thank you, DreamWorks.  Thank you, Walter Parkes, Branko Lustig, Terry Needham.  A huge thank you to Ridley Scott for his vision and his incredible inspiration.  But this doesn't belong to me alone.  It belongs to a huge costume crew who worked so hard in Malta and Morocco and in the U.K. It belongs to the armour makers.  It belongs to the costume makers.  To the jewelry, footwear creators and the costume breakers.  I couldn't have done it without these people:  without Vanessa Jones, without my husband Tony Dixon, without Jake Scott.  And I couldn't have done it without Rosemary Burrows, Annie Hadley and Sammy Howarth.  Thank you.
"
2000 (73rd) Academy Awards,Makeup,"Rick Baker, Gail Ryan"," RICK BAKER:
Thank you.  We'd like to thank the Academy, Universal, Imagine, Brian Grazer and Ron Howard for making such a creative film.  The entire cast, for their patience and cooperation.  Jim Carrey, for his brilliant performance.  My crew -- over 150 talented people contributed greatly to the work that we accept this award for.  I'm sorry I can't thank them all individually, but one I have to thank tonight is Kazuhiro Tsuji.  Kazu not only applied Jim Carrey's ""Grinch"" makeup but designed many of the makeups and deserves to be here with us.  Lastly, I'd like to thank the loves of my life:  my beautiful wife Silvia, my fantastic daughters Veronica and Rebecca, my late mother Doris, and my father Ralph.

GAIL RYAN:
I'd also like to thank my fabulous crew.  A special thanks to Terry Baliel for his wonderful work.  To my husband, I love him.  And Laurel, I wish you were here.  Thank you.
"
2001 (74th) Academy Awards,Actress in a Leading Role,Halle Berry," HALLE BERRY:
Oh my God.  Oh my God.  I'm sorry.  This moment is so much bigger than me. This moment is for Dorothy Dandridge, Lena Horne, Diahann Carroll.  It's for the women that stand beside me, Jada Pinkett, Angela Bassett, Vivica Fox.  And it's for every nameless, faceless woman of color that now has a chance because this door tonight has been opened.  Thank you.  I'm so honored.  I'm so honored.  And I thank the Academy for choosing me to be the vessel for which His blessing might flow.

I want to thank my manager, Vincent Cirrincione.  He's been with me for twelve long years and you fought every fight, and you loved me when I've been up but more importantly you've loved me when I've been down.  You have been a manager, a friend and the only father I've ever known.  Really.  And I love you very much.  I want to thank my mom who has given me the strength to fight every single day to be who I want to be and to give me the courage to dream, that this dream might be happening and possible for me.  I love you, Mom, so much.  Thank you, my husband, who is just a joy of my life.  And India, thank you for giving me peace because only with the peace that you've brought me have I been allowed to go to places that I never even knew I could go.  Thank you.  I love you and India with all my heart.

I want to thank Lions Gate.  Thank you, Mike Paseornek, Tom Ortenberg, for making sure everybody knew about this little tiny movie.  Thank you for believing in me.  Our director Marc Forster, you're a genius.  You're a genius.  This moviemaking experience was magical for me because of you.  You believed in me, you trusted me and you gently guided me to very scary places. I thank you.  I want to thank Ivana Chubbuck, I could have never figured out who the heck this lady was without you.  I love you.  Thank you.  I want to thank Lee Daniels, our producer.  Thank you for giving me this chance, for believing that I could do it.  And now tonight I have this.  Thank you.

I want to thank my agents.  CAA, Josh Lieberman especially.  I have to thank my agents.  Kevin Huvane, thank you.  Thank you for never kicking me out and sending me somewhere else.  Thank you.  Um...   I, I, I, who else?  I have so many people that I know I need to thank.  My lawyers!  Neil Meyer, thank you. Okay, wait a minute.  I got to take... seventy-four years here!  I got to take this time!  I got to thank my lawyer Neil Meyer for making this deal. Doug Stone.  I need to thank lastly and not leastly, I have to thank Spike Lee for putting me in my very first film and believing in me.  Oprah Winfrey, for being the best role model any girl can have.  Joel Silver, thank you.  And thank you to Warren Beatty.  Thank you so much for being my mentors and believing in me.  Thank you!  Thank you!  Thank you!
"
2001 (74th) Academy Awards,Short Film (Live Action),"Ray McKinnon, Lisa Blount (accompanied on stage by producer Walton Goggins)"," RAY McKINNON:
I thought we were going to get a little short one.  We'd like to thank the Academy for this wonderful honor in a category that still allows for a person who is just burning to make a movie to load the camera in the back of his daddy's old truck, gather up some talented dreamers and do it.  And if the stars align and the fates conspire that person might find themselves standing right here at the good God Almighty Academy Awards.  I want to thank everybody who helped us on our film, especially my two partners here, my true friend Walton Goggins and my dear and beautiful wife Lisa Blount.

LISA BLOUNT:
As one door was seemingly closing in my life, another door opened.  And I only have one person to thank for that, my husband Ray McKinnon.

WALTON GOGGINS:
I just get to thank our momma and daddies and Eddie King, Blake Jackson.  And Red, we might be able to pay you back.  Thank you.
"
2002 (75th) Academy Awards,Actress in a Supporting Role,Catherine Zeta-Jones," CATHERINE ZETA-JONES:
Thank you so much.  My Scotsman giving the Welsh girl...  I can't believe it. Oh my gosh.  This is too--I mean, my hormones are just too way out of control to be dealing with this.

Thank you so much, the Academy.  To be nominated with such amazing women in an amazing year for women, thank you very much.  Everyone involved in ""Chicago.""  There's so many people.  Rob Marshall, Harvey Weinstein, Craig, Neil, everybody, and all the cast and crew.

Everybody in Swansea, South Wales, I love you.  And to my son Dylan, who is going to be watching at home, and to my husband, who I love and I share this award with you, along with this one, too, thank you so much.
"
2003 (76th) Academy Awards,Costume Design,Ngila Dickson and Richard Taylor," NGILA DICKSON:
Well, Mr. Peter Jackson and Fran Walsh, you are amazing people.  And Barrie Osborne.  My amazing wardrobe crew, an unbelievable group of people who have stuck with us through thick and thin, five long years of filmmaking.  And Richard and Weta, my husband Hamish, my assistant Sophia, Liz, Sian, Bob, Caro, Emma, all these amazing people.

RICHARD TAYLOR:
From a group of people back in Wellington, New Zealand, the Weta Workshop: Peter, Fran, Barrie, everyone at New Line, the amazing cast and crew that supported us through the last seven years, I thank you so much.  Special thanks to Gary Mackay, who helped me put the team together, and the amazing armorers, weapons makers back at the Weta Workshop.  Complementing me, Ngila and her amazing team.  And Tania, my partner, the young girl who, at the age of thirteen, I bought two live rats as my first present to her.  You're still with me.  What a great treat.  Onwards and upwards.  I love you.
"
2004 (77th) Academy Awards,Actress in a Leading Role,Hilary Swank," HILARY SWANK:
I don't know what I did in this life to deserve all this. I'm just a girl from a trailer park who had a dream. I never thought this would ever happen, let alone be nominated. And a working actor, for that matter. And now, this. I thank the Academy. I am eternally grateful for this great honor. I would also like to acknowledge my fellow nominees. Annette, Imelda, Kate and Catalina, your work inspires me beyond words.

I am going to start by thanking my husband because I'd like to think I learn from past mistakes. Chad, you're my everything. Thank you for your support. It means the world. I would never be standing here if it weren't for each and every one of the brilliant people I had surrounding me, supporting me and believing in me. Tom Rosenberg, Gary Lucchesi, thank you for sending me this most marvelous script. You will never know how grateful I am. Paul Haggis, for writing this beautiful script. Our other producers extraordinaire: Al Ruddy, Clint, Rob Lorenz. Phyllis Huffman, our casting director. My trainers, Grant Roberts and Héctor Roca, you pushed me further than I ever thought I could push myself, up to that last pound, actually to that last ounce. I thank you. My sparring partners who were so patient. And everyone at Gleason's. Well, the ever-amazing Morgan Freeman. Tom Stern, our cinematographer, you are brilliant. Joel Cox, our editor, you're amazing. You know? I'm going to thank my mom for believing in me from the beginning; my dad for his support. My agents: Josh Lieberman, Tony Lipp, Kelly Tiffan, John Campisi. Jason Weinberg, my manager. [Music begins to play.]  Uh uh, you can't do that, because I haven't gotten to Clint yet. I saved him for the end. Karl Austen, Jeff Bernstein, my lawyers.

And then... Clint. Clint Eastwood, thank you for allowing me to go on this journey with you. Thank you for believing in me. You're my ""Mo Cuishle."" Thank you.

Alan Horn and Warner Bros., as well, thank you. [Music starts up again.] And you know what? Wait! Troy Nankin!  Troy Nankin, my best friend and publicist! Thank you!
"
