Year,Category,Winner,Speech
1976,Music (Original Song),Music by Barbra Streisand; Lyrics by Paul Williams," BARBRA STREISAND:
In my -- [responding to audience member:]  Yo, Barbra.  Thank you, honey. In my wildest dreams I never, never could ever imagine winning an Academy Award for writing a song.  I'm very honored and excited.  Thank you all very much.

PAUL WILLIAMS:
I was gonna thank all the little people and... then I remembered I am the little people.  [Speaking to audience member:] You're right, Hank, it's very heavy.  This is a very nice thing.  When you wish upon a star, it's a beautiful thing to have happen.  I, you know, a lot of us worked on ""A Star Is Born.""  ""Evergreen"" had a beautiful arrangement by Ian Freebairn-Smith, and a guy that I work with named Kenny Ascher was involved.  There're a lot of us. I wish that I could share all of this with them right now.  I know they're watching, and I say to them and to Denny Bond and my wife Katie:  I love you. God bless you.  Thank you, Academy.
"
1976,Writing (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Paddy Chayefsky," PADDY CHAYEFSKY:
[Responding to opening comments made by presenter Norman Mailer:]  In the name of all us perverts.

I don't as a rule, in fact I don't ever before remember making public acknowledgment of private and very personal feelings, but I think it's time that I acknowledge two people whom I can never really thank properly or enough.  I would like to thank my wife Sue and my son Dan for their indestructible support and enthusiasm, for their ideas, their discussions, their stimulation and for their very presence:  my gratitude and my love. Thank you.
"
1976,Special Achievement Award (Visual Effects),"L. B. Abbott, Glen Robinson, Matthew Yuricich"," L. B. ABBOTT:
I want to very sincerely thank the Board of Directors of the Academy.  The producer, Mr. Saul David, and that great host of wonderful helpers made this accolade possible for me.

MATTHEW YURICICH:
I'd like to thank Bill Adler for twenty-seven years of help and guidance. And to my fellow members of the Special Effects Committee, for this honor. And especially to my wife Clotilde*, without whose fierce loyalty I couldn't have gotten through these difficult years.  Without her I couldn't have gotten very far, and this is very, very far.  And I want to thank myself, because I think I earned it.  [Unintelligible.]

GLEN ROBINSON:
I wish to thank the Academy and also Mr. Saul David, MGM studios, and Mr. Yzuel and Scarlatti*, and the great team of special effects people that were with me that do the job.  Thank you.
"
1978,Short Film (Live Action),"Taylor Hackford, Producer"," TAYLOR HACKFORD:
It's a marvelous surprise.  I have to thank the many talented people who contributed to ""Teenage Father.""  Our marvelous cast, especially Timothy Wead and Suzanne Crough; our cinematographer, Robbie Greenberg; editor, Sally Coryn; Lisa Rich; Andrea Asimow; my wife Lynne and my son Rio for their continuing support and love.  And especially the executive producer Charlotte De Armond and the Children's Home Society of California who sponsored this film, who went out and surveyed the high schools, talked to the students and found out that they wanted a film about teenage fathers.  We tried to present an honest picture of the problems that these young men and women face in a very difficult situation, and hopefully we've succeeded.  Thank you.
"
1978,Sound,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight"," RICHARD PORTMAN:
It's been a long time coming.  I have to thank Michael Cimino, who I love; a fine group of technicians at Metro-Goldwyn-Mayer Studios.  And just a wonderful business to be in; it's the honor of my life.  Thank you very much.

WILLIAM McCAUGHEY:
Pardon me.  A special thanks to Michael Cimino, James J. Klinger, Frank Reale and many, many fine technicians.  And to the Academy.  Thank you.

AARON ROCHIN:
I would also like to thank Michael Cimino for his creative suggestions and inspiration during the mix of ""The Deer Hunter.""  I'd like to thank the MGM sound and projection personnel for all their help.  And I'd like to thank all the members of the Academy for making my greatest aspiration a reality.  Thank you.

DARIN KNIGHT:
I'd also like to thank Michael Cimino and Don Bolger, and my wife for staying with me in the jungles of Thailand to shoot this picture.  And all the members of the Academy.  Thank you all very much.
"
1979,Directing,Robert Benton," ROBERT BENTON:
Thank you all very much.  I would like to thank Avery Corman who wrote a lovely book.  I would like to thank Stanley Jaffe, the producer; Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry, JoBeth Williams.  I would like to thank Jerry Greenberg, the editor; Néstor Almendros, the cinematographer.  I would like to thank all the people at Columbia, past and present.  I would like to thank Sam Cohn, Arlene Donovan, my wife Sally and my son John.  Thank you all.
"
1979,Film Editing,Alan Heim," ALAN HEIM:
I'd like to thank Bob Fosse and Giuseppe Rotunno for making the film so beautiful and so complex that I'm here tonight.  I'd like to thank all the people who worked so hard with me in the editing room, particularly David Ray, Wende Phifer, Emily Paine and Joan Cameron.  And my wife and my daughter and all my family and friends, for putting up with a year of obsessive behavior. Thank you.
"
1979,Sound,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer (Boxer not present)"," WALTER MURCH:
Thank you very much.  The missing ingredient in the sound award is the contribution of the sound editor.  And in ""Apocalypse Now"" the contributions of dozens of editors and assistants was so massive that I'd like to thank them all collectively tonight and in particular single out Richie Cirincione, Les Hodgson, Pat Jackson and Les Wiggins.  I hope they all realize that this award belongs as much to them as it does to us who stand here on the stage.  Thank you.

MARK BERGER:
Those of us who put together all the work of the editors also had many assistants.  And I would like to specifically thank Tom Scott and Dale Strumpell and all the people at Zoetrope Studios.  And specifically for personal assistance, Susan Wengraf, my wife, for putting up with my absence for so long.  And thank you all for listening.

RICHARD BEGGS:
Thank you, Francis.  Thank you, Kathy.  And thank you, Shelley.  And thanks to my family.
"
1980,Documentary (Short Subject),"Roland Hallé and Peter W. Ladue, Producers"," PETER W. LADUE:
Well, I'd like to thank the Academy not only for this honor but also for their support of young filmmakers through their Student Film Awards.  I'd also like to thank Boston University and the School of Public Communications where we made this film as graduate students.  And to John Hoover, Loren Miller, Charlie Lew, and Kevin Burns and Jim Kent*, Don Wilkins in the Berklee School of Music, my wife Kathleen*, my parents, and to Karl and Therese Hess, thank you.

ROLAND HALLÉ:
It feels very good to be honored by such a prestigious organization as the Academy of Motion Picture.  All our gratitude goes to the membership.  Karl Hess is not here tonight but he deserves a good chunk of the Oscar that we won.  He was such a good performer.  His ideas on how [to] take control of one's life I think can map our route toward liberty, and liberty is all this country's about.  And I'm proud, you know, to have bring ""Karl Hess"" with my partner.  And I would like to say just one more word to my folks in Quebec City:  Je vous invite à partager avec moi la joie de reçevoir ce grand honneur ce soir.  Thank you very much.
"
1980,Writing (Screenplay Written Directly for the Screen),Bo Goldman," BO GOLDMAN:
I'm so happy.  And please forgive the litany of gratitude but movies are made on faith and the studio's money.  I'd like to thank my friend Ned Tanen for his deep pockets, Jonathan Demme for his good eye, Art Linson and Don Phillips for steering me to Gabbs, Nevada, and Melvin Howard [sic] for sharing his life.  Tonight I'm here for ""Melvin and Howard"" but there are years in between for me and for all writers when there are no awards.  So tonight I'd like to mention some men who've taught me a lot and whom I love:  Phil Kaufman, Alan Parker, Mike Nichols and Milos Forman.

May I share this honor with my agent Arnold Stiefel, and my wife Mab Ashforth who urged me to write this movie, and I'm so glad I did.  Thank you, members of the Academy.
"
1980,Special Achievement Award (Visual Effects),"Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson"," RICHARD EDLUND:
Thank you.  First I must thank George Lucas and Gary Kurtz who gave us the opportunity to work on these great films.  Also my colleagues Jim Bloom, Joe Johnston, Ralph McQuarrie and Harrison Ellenshaw.  Of course my family and crew.  Thank you very much.

BRIAN JOHNSON:
I'd like to thank the English effects crew and ILM.  And I'd like to thank Gary Kurtz, George Lucas, Irvin Kershner, my two daughters, Claire and Lucy-Kate, and my wife Jennie.  Thanks very much.

DENNIS MUREN:
And I'd like to thank my mom, and Jon Berg and Phil Tippett, and Ken and all the camera department.  Thank you.

BRUCE NICHOLSON:
I'd like to thank a great special effects crew and in particular the optical department who I worked so closely with.  To my wife, family and friends, for their support throughout the project.  And to the Force, for allowing me to be here tonight to receive this award.
"
1981,Documentary (Feature),"Arnold Schwartzman and Rabbi Marvin Hier, Producers"," ARNOLD SCHWARTZMAN:
Well, I'd like to thank the members of the Academy.  The Board of Trustees at the Simon Wiesenthal Center and its Dean, Rabbi Marvin Hier, for giving me the opportunity of making this film.  To Elizabeth Taylor and Orson Welles, for their wonderful narration.  Mr. Simon Wiesenthal, for his marvelous help and advice during the production.  Elmer Bernstein, for a wonderful score.  Martin Gilbert.  There are so many people, including my wife Isolde who did research with me on the film.  Peter Shillingford, Roy Watts, Bob Jenkis... I just can't remember any more but there were so many people.  I thank you very much. Thank you.

RABBI MARVIN HIER:
I just want to add my special thanks to the Board of Trustees of the Simon Wiesenthal Center of  Yeshiva University of Los Angeles for making this film possible, and for Simon Wiesenthal who stood alone all these years so that the world would not forget.  This film is dedicated to the memory of the victims of the Holocaust.  They have no graves, but their memory will live to the end of time.  Thank you.
"
1981,Documentary (Short Subject),"Nigel Noble, Producer"," NIGEL NOBLE:
When the limousine pulled up in front of the theater my son said, ""You mean I have to get out in front of all those people.""  I feel exactly the same way.

I would like to thank the Academy for this honor.  I also would like to thank the children of Brooklyn Friends School, the senior citizens of the Council Center for Senior Citizens in Brooklyn, and a dynamic music teacher who brought these two groups together, Arlene Symons.  My crew:  Ken Van Sickle, Kit Whitmore, Steve Gerbson, Tom Houghton, Maggi Travis; wonderful, wonderful people who devoted themselves to the film.  And Joan Morris, who did a tremendous job editing the film; in China now, the American film industry needs her back.  And I would like to thank Ruth Corkstein* and Lee Barry* for their support.  I would like to thank the National Council of Jewish Women, Brooklyn Section, who made this film possible.  My wife Jane, for suggesting the idea.  And my cheering section in the balcony:  David, Benjamin and Zachary.  Thank you very much.
"
1981,Short Film (Animated),Producer," FRÉDÉRIC BACK:
I thank the Academy in the name, in behalf of la Société Radio-Canada and all my talented camarades who worked on this film and on many others:  Hubert Tison, Normand Roger, who did so beautiful music and soundtrack.  Le Rêve du Diable, Jacques Leroux, Jean et Claude, Michel, Léo, so many I would like to tell how much it's important to have all those people around to work.  I would say my gratitude to my wife Ghylaine, to my children, my mother, and salut Québec.  Thank you very much to you all.
"
1982,Cinematography,"Billy Williams, Ronnie Taylor (Taylor not present)"," BILLY WILLIAMS:
I'm very happy to share this great honor with my good friend Ronnie Taylor and to also share it with our superb camera crews, grips and electricians, Indian and British, who, working in harmony, shot this unique film.  And I especially thank my wife Anne* for her love and her support.  Thank you.
"
1982,Documentary (Feature),"John Zaritsky, Producer"," JOHN ZARITSKY:
I'd like to thank a group of my colleagues and friends:  Ian Parker, Brian Vallee, John Griffin, Dick France, Don McElligott and Gordon McClellan -- a group of talented professionals who made ""Just Another Missing Kid.""  I'm grateful to Glenn Sarty and Bill Morgan and the Canadian Broadcasting Corporation who gave me the opportunity and the money to make this film.  I appreciate and am eternally grateful to my wife Virginia Storring for her advice and support.  And finally I'd like to thank America's wisest private detective, Jim Conway, up in Storrs, Connecticut, as well as two dedicated policemen in Maine, Charles Stevens* and Kent Taylor*, who did everything to make sure that Eric Wilson didn't remain just another missing kid.  Thank you very much.
"
1982,Music (Original Song),Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings," JACK NITZSCHE:
There are so many people to thank: Taylor Hackford, a true gentlemen; Joel Sill, for putting it all together; Happy Goday; Will Jennings; and the one that makes it all worthwhile, my wife Buffy.

BUFFY SAINTE-MARIE:
Thank you from me, too, Marty Elfand, Stewart Levine, Joe Cocker, Jennifer Warnes, Curt Sobel, my mom, my little boy Cody, and most of all my husband Jack Nitzsche who gave me the chance to be a part of ""Officer and a Gentleman.""  Thank you very much.

WILL JENNINGS:
All of the above, members of the Academy, Taylor Hackford, Joe and Jennifer, Joel Sill, Stewart Levine, Chuck Kaye, Happy Goday, Mom and Dad in Tyler, Texas, and my lovely wife Carol.  Thank you very much.
"
1982,Visual Effects,"Carlo Rambaldi, Dennis Muren, Kenneth F. Smith"," CARLO RAMBALDI:
I'd like to thank my collaborator, and the member[s] of the Academy for recognizing my work, the art and the technology which gave ""E.T."" life.  Thank you very much.

DENNIS MUREN:
And we'd like to acknowledge the excellent work of the other nominees in this category.  And thank you very much to Mike McAlister, Mike Pangrazio in the matte department, and Steven Spielberg for excellent, excellent direction.

KENNETH F. SMITH:
I'd like to thank Dave Berry and Ralph Gordon and Mike Fulmer and Charlie Bailey.

DENNIS MUREN:
And a special thanks to my wife Zara.  Thank you.

KENNETH F. SMITH :
Thanks, Steven.
"
1982,Honorary Award,"To Mickey Rooney, in recognition of his 60 years of versatility in a variety of memorable film performances."," MICKEY ROONEY:
Ladies and gentlemen, members of the Academy, this is for sixty years of work, so they tell me.  It's really only for six minutes of fun, of love and joy, of working with, playing with, like children, the people that we all are on the screen.  I love every minute that God has given me to be an infinitesimal small part of this great business.  Sixty years, gosh, I... Tonight for my being here, and the responsibility really belongs to somebody that I'd love to put my arms around, like Judy Garland, and Lewis Stone, Fay Holden, Spencer Tracy, Wallace Beery.  Memories, I have a lot of memories, as we all do.

When I was nineteen years old I was the number one star of the world, for two years.  When I was forty, nobody wanted me.  I couldn't get a job.  And then a professor from the University of Tennessee got a show together with Terry Allen Kramer and Harry Rigby called ""Sugar Babies,"" and it resurrected my career.  Last year God smiled upon me and I was given the Emmy for ""Bill,"" and I won the Peabody Award and the Golden Globe, and tonight you honor me beyond anything that a man should be given.  You honor me with the greatest and the highest tribute we can receive in our business.

My family all love you and they're all tingling inside because of this moment for me.  I'd love to even kiss Louis B. Mayer.  But it's, it's wonderful.  The woman who put it all together was Ruth Webb, my agent, who picked up the pieces and put 'em back together.  Mickey, Jr., Timmy, Teddy, Kelly, Kerry, Kyle, Kimmy Sue, Jimmy, Jonell, Chris and Mark, and my grandchildren, my grandchildren Shannon and Nika*.  They're home tonight looking and saying, ""That's Granddaddy up there, and he's got the Oscar.""  But the one that's responsible, outside of God, is my wife Jan, who kept saying to me for the last seven years, ""I know you can do it, Mick.  Get up off the canvas.  You can do it.""  I want to thank you, one and all, for remembering me.  Thank you for this glorious moment.  God bless and good night.
"
1983,Film Editing,"Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf"," GLENN FARR:
We wish to extend our thanks to the members of the Academy.  This is truly a beautiful, wonderful moment for each one of us.  We acknowledge the tremendous, magnificent effort that went into the making of this film.  We are privileged to have been a part of it and the experience will long live in our hearts.  We must thank our marvelous, beautiful, we-love-you-Phil Kaufman director, for his leadership and dedication and for the vision that he gave to us.  We thank The Ladd Company, Alan Ladd, Jr., especially Gareth Wigan for his gentlemanly guidance, concern, care, all through the project.  And before I give the microphone to my colleagues, I would like to say that we do thank our assistant editors and apprentice editors for their marvelous, dedicated support all through the project, who kept their sense of humor and carried us through to the end.

LISA FRUCHTMAN:
""The Right Stuff"" required a monumental effort on the part of a lot of people, not all of whom we can thank tonight, but I'd like to just add to those already mentioned our producers Robert Chartoff and Irwin Winkler, who were the first to see the possibilities for a terrific movie in Tom Wolfe's book.  And again, our director Phil Kaufman, who transformed that book into a fantastic script and then into a fantastic movie from which we were able to work with terrific footage and whose vision carried us throughout the editing. For myself, I'd like to just thank my husband for his unwavering support during a difficult year and a half, and my colleagues Francis Coppola, Walter Murch and Bill Reynolds, without whose support and inspiration I wouldn't be here tonight.  Thank you.

STEPHEN A. ROTTER:
If I can just thank my wife Janet, my daughter Zoe, my good friend Dede Allen, and Phil and Rose.  Thank you very much.

DOUGLAS STEWART:
I just want to say thank you very much and God bless you all.

TOM ROLF:
I just want to say I'm deeply grateful.  And if I could ever do anything for anyone here...let me know.
"
1983,Music (Original Score),Bill Conti," BILL CONTI:
Thank you very much for this honor.  I have to thank everyone that I should thank: my mother, my father, my wife, my daughters Nicola and Rachela that knew this was going to happen -- I don't know how.  Bob Chartoff, Irwin Winkler believed in me from the beginning.  Al Bart, Stan Milander, Nathan Kaproff, Angela Morley, Dick Hazard*, all the musicians that played, and the engineer that recorded it, Danny Wallin.  Thank you all.  Thank you very much.
"
1983,Music (Original Song Score or Adaptation Score),"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman"," MARILYN BERGMAN:
Thank you.  Thank you very much.  I am very grateful for this.  I am very grateful too for the privilege of the experience of having worked on ""Yentl"" which was a, which is a story of a woman with a dream, a woman with a struggle.  And life has a way of imitating art in very interesting ways.  We worked in an atmosphere of creativity, of collaboration, of excitement, of energy, synergy, that allowed us to do our best work, I think.  And for that I thank Barbra Streisand and my two very gifted collaborators. But most of all Barbra, wherever you are.

ALAN BERGMAN:
My wife is far more eloquent than I am but it is a marvelous experience working with a woman, as I have all my creative life, and Barbra just made it that much better.  She's just terrific.  And so is this composer over here [pointing to Legrand].  It's just, I have to tell you experience of, the four of us really love each other a great deal and we love the project, and when you do something you love with people you love, something really nice happens. Thank you all very much.

MICHEL LEGRAND:
I just want to tell you that it was such a pleasure for me to work with Alan and Marilyn, to work with Barbra, to work with the people around us.  We spent years of love and I'm ready to do it again anytime.  Thank you very much.
"
1983,Sound,"Mark Berger, Tom Scott, Randy Thom, David MacMillan"," MARK BERGER:
To all the members of the Academy, thank you very much for listening.  There were a lot of people involved; we're gonna name them all but we're gonna break the sound barrier doing it so it'll be all right.  The producers Bob Chartoff, Irwin Winkler, all the people at The Ladd Company, Gareth Wigan, to Roy Segal at the Saul Zaentz Film Center in Berkeley where we mixed the film.  On the home front, my wife Susan Wengraf, Anya and Matthew, my kids, for putting up with me when I wasn't there.  And most of all to a guy who was always there pushing the outside of the envelope, giving us the time, the enthusiasm, and the strength to carry on to give a great soundtrack for his great picture, our director Phil Kaufman.

TOM SCOTT:
We also have to recognize Todd Boekelheide and Andy Wiskes.  Wonderful talents. They were the fourth and fifth men on our crew.  Steve Sutter, also the fellows at Warner Hollywood for all their help, Dolby Labs, Walter Murch, and Kadi Kiiss.

RANDY THOM:
Ed, Barbara, C. J., Dennie, Diana, John, Karen, Pat, Tim, Twiggy, Vivien, Jay Boekelheide, to Walter Murch and Ben Burtt, my teachers, Stephanie Borris*, thank you.

DAVID MacMILLAN:
And my guys: Steve Powell and Danny Vincent*.  [Speaks in Gaelic.]
"
1983,Sound Effects Editing,Jay Boekelheide," JAY BOEKELHEIDE:
I'm really nervous.  I'd like to thank my wife Beth and my daughter Julia for putting up with this business.  I would like to thank the Academy for voting this to me.  I'd like to thank Phil Kaufman for having the vision to make ""The Right Stuff"" the way it is.  I'd like to thank Bob Chartoff and Irwin Winkler and Gareth Wigan for giving him the support he needed to make it.  I'd like to thank the forty or so people who worked with me on the sound of ""The Right Stuff.""  I'd like actually quickly to go through a couple of them if you don't mind: Tim Holland, Pat Jackson, Karen Wilson, John Benson, the editors, the assistants.  I'd like finally to thank a few people who brought me into the business: Jerry Greenberg, Les Hodgson, Walter Murch, Francis Coppola.  Thank you all.  Good evening.
"
1983,Writing (Screenplay Based on Material from Another Medium),James L. Brooks," JAMES L. BROOKS:
Thank you very much.  I want to thank Larry McMurtry for a wonderful book; Jennifer Jones-Simon for all her help; Jeff Berg, who has a comfortable office and left it to work like a process server to try and get this picture made.  I want to thank Paramount first and last, the only ones who would make the movie.  And the cast had so much to do with this script.  Finally it was all redefined.  Finally it was an actor's picture.  I'd really like to share it with them.  And thank you very much.

I'm sorry, I just want to, forgive me, I just want to thank three women.  I want to thank my sister Diane.  I want to thank my daughter Amy.  And I want to thank my wife Holly.  Thank you.
"
1983,Writing (Screenplay Written Directly for the Screen),Horton Foote," HORTON FOOTE:
I'm overcome and I'm very grateful to the Academy.   I'd like to express my gratitude to the cast and crew of ""Tender Mercies,"" and particularly to my old and dear friend Robert Duvall for his marvelous work which was the heart and soul of our film.  To Australia, for my new friend, the very gifted director Bruce Beresford.  For the producers, for their loyalty and courage, Mary-Ann and Philip Hobel.  To John Cohn and Barry Spikings, for all of their tender administrations.  To my agent and friend, Lucy Kroll.  To my wife and children, for their kindness and their devotion and their steadfastness in good times and bad.  Thank you all.
"
1983,Special Achievement Award (Visual Effects),"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett"," DENNIS MUREN:
I'd very much like to thank Bruce Nicholson, Mike McAlister, Mike Owens, Tom and Warren, my wife Zara, and everybody at Industrial Light & Magic.

RICHARD EDLUND:
I'd like to also thank George Lucas for the opportunity to do what I could for the ""Star Wars"" trilogy.  This is the end of that era for me; my good old days.  I'd also like to thank Joe Westheimer, my mentor and friend, who gave me my start.  And to Jim Nelson, for his honesty and help whenever I've asked. Finally, to the many talented crew members who did it all and for whom I serve as a figurehead.  Thank you.

PHIL TIPPETT:
Thank you, Academy.  And I'd like to congratulate Joe Johnston, Tom Smith, Tom St. Amand, Stuart Ziff, Rose Duignan, and all my friends at ILM.  And I'd like to especially thank my family and Julie for their support and their love.

KEN RALSTON:
I'd like to thank Don Dow, Bill Kimberlin, and the 120 artists at Industrial Light & Magic who contributed to this film.  And also to the force behind the Force, George Lucas.

ALL:
Thanks, George!
"
1984,Sound,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman"," MARK BERGER:
Thanks to Saul Zaentz and Milos Forman for the opportunity to work on ""Amadeus.""  And to my wife Susan Wengraf, Matthew and Anya.

TOM SCOTT:
Thanks to our San Francisco sound editors, Roy Segal, Alice Caldwell and Kadi Kiiss.

TODD BOEKELHEIDE:
Thanks to John Strauss whose wonderfully creative work on this film made my work on it quite pleasurable.  Also Mark Adler, for the great tracks, and Neville Marriner, for some wonderful readings of the music.  And finally, Wolfgang, for writing it down.

CHRIS NEWMAN:
Kenny Weston, Neil Fallon, Bob Gorman, Peter and Hope Newmen, all the people in Czechoslovakia, with profound gratitude, thank you.
"
1985,Directing,Sydney Pollack," SYDNEY POLLACK:
Thank you very much.  Frank Price made this film possible.  He had the courage when it mattered the most and was easy to say no.  I knew it was impossible to get a screenplay from this material so I didn't try; Kurt Luedtke didn't know it was impossible and so he did it.  David Rayfiel kept us honest.  Meryl, Bob, Klaus and Malick brought those characters to life and made an incredible world.  All of us being helped all the time by Terry Clegg who kept us going.  I had a team of editors who locked themselves in a room with me seven days a week, twelve hours a day and behaved as though nothing else in the world existed.  John Barry made it all sing.  Karen Blixen lived that life and turned it into art and taught a generation a new way to write prose.  My wife Claire gave me more encouragement than I have any right to have, put up with more, was more tolerant.  I'm indebted to all of them.  I can't leave this podium without saying, I could not have made this film without Meryl Streep.  She is astounding personally, professionally, in all ways, and I can't thank her enough.  Thank you.
"
1985,Music (Original Score),John Barry," JOHN BARRY:
First and foremost I'd like to thank Sydney Pollack for the excellence of his direction and the eloquence of his production.  I'd like to thank Dan Wallin, our music scoring mixer, for just a wonderful job.  And all the very fine musicians, each and every one of them who performed the score for us.  My wife Laurie, members of the Academy, I thank you very much.
"
